<<<<<<< HEAD
Name,Age,City
Alice,25,New York
Bob,30,London
=======
Customer Acct Number,Product Code,Quantity,Unit Price,Priority Order
76012589,ABC-125,3,2.16,True
45051458,ABC-127,6,0.45,False
50023512,ABC-121,2,3.2,False
20087425,ABC-126,1,4.5,True
10084215,ABC-123,22,0.19,True
76035689,ABC-122,15,99.99,False
45051328,ABC-132,18,35.45,False
52233512,ABC-118,2,25.99,True
20010725,ABC-135,1,400.02,True
10024585,ABC-212,22,2.99,False
84135689,ABC-002,13,69.99,False
99541328,ABC-005,18,59.99,True
99443512,ABC-018,4,29.99,False
11120725,ABC-035,25,10.99,False
11287256,ABC-521,15,21.99,True
>>>>>>> 3cba286 (day5 uploaded)
